Expanding the Mutation Spectrum in ABCA4: Sixty Novel Disease Causing Variants and Their Associated Phenotype in a Large French Stargardt Cohort.,"Nassisi M,, Mohand-Saïd S,, Dhaenens CM, Boyard F, Démontant V, Andrieu C, Antonio A, Condroyer C, Foussard M, Méjécase C, Eandi CM, Sahel JA,,,,, Zeitz C, Audo I,,.","Here we report novel mutations in ABCA4 with the underlying phenotype in a large French cohort with autosomal recessive Stargardt disease. The DNA samples of 397 index subjects were analyzed in exons and flanking intronic regions of ABCA4 (NM_000350.2) by microarray analysis and direct Sanger sequencing. At the end of the screening, at least two likely pathogenic mutations were found in 302 patients (76.1%) while 95 remained unsolved: 40 (10.1%) with no variants identified, 52 (13.1%) with one heterozygous mutation, and 3 (0.7%) with at least one variant of uncertain significance (VUS). Sixty-three novel variants were identified in the cohort. Three of them were variants of uncertain significance. The other 60 mutations were classified as likely pathogenic or pathogenic, and were identified in 61 patients (15.4%). The majority of those were missense (55%) followed by frameshift and nonsense (30%), intronic (11.7%) variants, and in-frame deletions (3.3%). Only patients with variants never reported in literature were further analyzed herein. Recruited subjects underwent complete ophthalmic examination including best corrected visual acuity, kinetic and static perimetry, color vision test, full-field and multifocal electroretinography, color fundus photography, short-wavelength and near-infrared fundus autofluorescence imaging, and spectral domain optical coherence tomography. Clinical evaluation of each subject confirms the tendency that truncating mutations lead to a more severe phenotype with electroretinogram (ERG) impairment (p = 0.002) and an earlier age of onset (p = 0.037). Our study further expands the mutation spectrum in the exonic and flanking regions of ABCA4 underlying Stargardt disease."
Deep Scleral Exposure: A Degenerative Outcome of End-Stage Stargardt Disease.,"Lee W, Zernant J, Nagasaki T, Tsang SH, Allikmets R.",To describe a distinct phenotypic outcome of outer retinal degeneration in a cohort of genetically confirmed patients with recessive Stargardt disease (STGD1).
Ultrastructural alterations in the retinal pigment epithelium and photoreceptors of a Stargardt patient and three Stargardt mouse models: indication for the central role of RPE melanin in oxidative stress.,"Taubitz T, Tschulakow AV, Tikhonovich M, Illing B, Fang Y, Biesemeier A, Julien-Schraermeyer S, Schraermeyer U.","Stargardt disease (SD) is characterized by the accumulation of the age-pigment lipofuscin in the retinal pigment epithelium (RPE) and subsequent neuroretinal degeneration. The disease leads to vision loss early in life. Here, we investigate age-dependent ultrastructural changes in three SD mouse models: albino Abca4 and pigmented Abca4 and Abca4.Rdh8 mice. Since we found indications for oxidative stress primarily in albino SD mice, we tested RPE melanin for its antioxidative capabilities."
Protective effect of a locked retinal chromophore analogue against light-induced retinal degeneration.,"Gao S, Parmar T, Palczewska G, Dong Z, Golczak M, Palczewski K, Jastrzebska B.","Continuous regeneration of the 11-cis-retinal visual chromophore from all-trans-retinal is critical for vision. Insufficiency of 11-cis-retinal arising from the dysfunction of key proteins involved in its regeneration can impair retinal health, ultimately leading to loss of human sight. Delayed recovery of visual sensitivity and night blindness caused by inadequate regeneration of the visual pigment rhodopsin, are typical early signs of this condition. Excessive concentrations of unliganded, constitutively active opsin and increased levels of all-trans-retinal, and its byproducts in photoreceptors also accelerate retinal degeneration following light exposure. Exogenous 9-cis-retinal iso-chromophore can reduce the toxicity of ligand-free opsin but fails to prevent the buildup of retinoid photoproducts when their clearance is defective in human retinopathies such as Stargardt disease or age-related macular degeneration. Here we evaluated the effect of a locked chromophore analogue, 11-cis-6-membered ring-retinal against bright light-induced retinal degeneration in Abca4Rdh8 mice. Using in vivo imaging techniques, optical coherence tomography, scanning laser ophthalmoscopy, and two-photon microscopy, along with in vitro histological analysis of retinal morphology, we found that treatment with 11-cis-6-membered ring-retinal prior to light stimulation prevented rod and cone photoreceptor degradation and preserved functional acuity in these mice. Moreover, additive accumulation of 11-cis-6-membered ring-retinal measured in the eyes of these mice by quantitative liquid chromatography-mass spectrometry indicated stable binding of this retinoid to opsin. Together, these results suggest that eliminating excess of unliganded opsin can prevent light-induced retinal degeneration in Abca4Rdh8 mice."
Clinical and Genetic Characteristics Analysis of Korean Patients with Stargardt Disease Using Targeted Exome Sequencing.,"Sung Y, Choi SW, Shim SH, Song WK.","To investigate genetic mutations in Korean patients with Stargardt disease (STGD) using exome sequencing, and to analyze the correlations between genetic mutations and clinical phenotypes."
The Common ABCA4 Variant p.Asn1868Ile Shows Nonpenetrance and Variable Expression of Stargardt Disease When Present in trans With Severe Variants.,"Runhart EH,, Sangermano R,,, Cornelis SS,, Verheij JBGM, Plomp AS, Boon CJF,, Lugtenberg D, Roosing S,, Bax NM, Blokland EAW, Jacobs-Camps MHM, van der Velde-Visser SD, Pott JR, Rohrschneider K, Thiadens AAHJ,, Klaver CCW,,, van den Born LI, Hoyng CB, Cremers FPM,.","To assess the occurrence and the disease expression of the common p.Asn1868Ile variant in patients with Stargardt disease (STGD1) harboring known, monoallelic causal ABCA4 variants."
Scotopic Microperimetric Assessment of Rod Function in Stargardt Disease (SMART) Study: Design and Baseline Characteristics (Report No. 1).,"Strauss RW,,,, Kong X,, Bittencourt MG, Ho A, Jha A, Schönbach EM, Ahmed MI, Muñoz B, Ervin AM, Michaelides M, Birch DG, Sahel JA, Sunness JS, Zrenner E, Bagheri S,, Ip M, Sadda S, West S, Scholl HPN,,; for the SMART Study Group.",To describe the study design and characteristics at first visit of participants in the longitudinal Scotopic Microperimetric Assessment of Rod Function in Stargardt Disease (SMART) study.
Vitamin A in Stargardt disease-an evidence-based update.,"Federspiel CA, Bertelsen M, Kessel L,.",High intake of vitamin A is suspected to be a risk factor for the progression of Stargardt disease (STGD1) and many health authorities recommend Stargardt patients not to use oral vitamin A supplements outside that provided naturally in the food. The present study provides the first systematic review of the current level of evidence regarding the role of supplementary vitamin A in STGD1.
Detailed genetic characteristics of an international large cohort of patients with Stargardt disease: ProgStar study report 8.,"Fujinami K,,,, Strauss RW,,,,, Chiang JP, Audo IS,, Bernstein PS, Birch DG, Bomotti SM, Cideciyan AV, Ervin AM, Marino MJ, Sahel JA,,, Mohand-Said S,, Sunness JS, Traboulsi EI, West S, Wojciechowski R, Zrenner E,, Michaelides M,, Scholl HPN,; On behalf of the ProgStar Study Group; ProgStar Study Group.",To describe the genetic characteristics of the cohort enrolled in the international multicentre progression of Stargardt disease 1 (STGD1) studies (ProgStar) and to determine geographic differences based on the allele frequency.
Visual Acuity Change Over 24 Months and its Association With Foveal Phenotype and Genotype in Individuals With Stargardt Disease: ProgStar Study Report No. 10.,"Kong X,,, Fujinami K,,,, Strauss RW,,,, Munoz B, West SK, Cideciyan AV, Michaelides M,, Ahmed M, Ervin AM,, Schönbach E, Cheetham JK, Scholl HPN,,; ProgStar Study Group.",Limited data from prospective studies are available to understand the natural history of ABCA4-related Stargardt disease (STGD1). Such data are important for determining appropriate outcome measures for future STGD1 trials.
